Address,Zip Code,Latitude,Longitude
"4095 Century Blvd, Pittsburg, CA 94565",94565,38.007622,-121.843883
"1345 Dana Dr, Redding, CA 96003",96003,40.585285,-122.346915
"3700 Park Sierra Dr, Riverside, CA 92505",92505,33.903726,-117.471537
"6440 Redwood Dr, Rohnert Park, CA 94928",94928,38.347423,-122.714901
"1400 Howe Ave, Sacramento, CA 95825",95825,38.591155,-121.414862
"1720 N Main St, Salinas, CA 93906",93906,36.716227,-121.654473
"195 E Hospitality Ln, San Bernardino, CA 92408",92408,34.065644,-117.283806
"1210 El Camino Real, San Bruno, CA 94066",94066,37.638774,-122.421781
"8330 Mira Mesa Blvd, San Diego, CA 92126",92126,32.91313,-117.144782
"3780 Sports Arena Blvd, San Diego, CA 92110",92110,32.754811,-117.21668
"2040 Aborn Rd, San Jose, CA 95121",95121,37.310955,-121.807735
"5343 Almaden Expy, San Jose, CA 95118",95118,37.252343,-121.87622
"1525 S Bradley Rd, Santa Maria, CA 93454",93454,34.93319,-120.418546
"2283 W March Ln, Stockton, CA 95207",95207,37.98622,-121.334376
"41649 Margarita Rd, Temecula, CA 92591",92591,33.520215,-117.1526
"21233 Hawthorne Blvd, Torrance, CA 90503",90503,33.836236,-118.356459
"27524 The Old Rd, Valencia, CA 91355",91355,34.421369,-118.583268
"1180 Admiral Callaghan Ln, Vallejo, CA 94591",94591,38.13521,-122.215037
"12180 Amargosa Rd, Victorville, CA 92392",92392,34.472065,-117.346169
"1545 S Mooney Blvd, Visalia, CA 93277",93277,36.316696,-119.314574
"6139 S Southlands Pkwy, Aurora, CO 80016",80016,39.604723,-104.711491
"10854 E Alameda Ave, Aurora, CO 80012",80012,39.710633,-104.86201
"9067 East, Westview Rd, Lone Tree, CO 80124",80124,39.565523,-104.883862
"8268 E, Northfield Blvd, Denver, CO 80238",80238,39.779487,-104.893053
"4925 N Academy Blvd, Colorado Springs, CO 80918",80918,38.902828,-104.769699
"3510 New Center Point, Colorado Springs, CO 80922",80922,38.88231,-104.719069
"3301 S College Ave, Fort Collins, CO 80525",80525,40.542023,-105.077784
"575 24 1/2 Rd, Grand Junction, CO 81505",81505,39.088358,-108.599459
"2885 23rd Ave, Greeley, CO 80631",80631,40.391144,-104.71646
"810 S Wadsworth Blvd, Lakewood, CO 80226",80226,39.703416,-105.081023
"5656 S Wadsworth Blvd, Littleton, CO 80123",80123,39.613577,-105.090369
"2177 Ken Pratt Blvd, Longmont, CO 80501",80501,40.142411,-105.129105
"1350 W 104th Ave, Northglenn, CO 80234",80234,39.884607,-105.003099
"3306 N Elizabeth St, Pueblo, CO 81008",81008,38.304332,-104.614067
"4455 Wadsworth Blvd, Wheat Ridge, CO 80033",80033,39.777651,-105.081942
"4485 Main St, Bridgeport, CT 06606",6606,41.220451,-73.217502
"34 Backus Ave, Danbury, CT 06810",6810,41.375003,-73.486089
"320 Universal Dr N, North Haven, CT 06473",6473,41.353958,-72.872727
"1324 Silas Deane Hwy, Wethersfield, CT 06109",6109,41.684579,-72.654215
"271 N Dupont Hwy, Dover, DE 19901",19901,39.170983,-75.518432
"1249 New Churchman's Rd, Newark, DE 19713",19713,39.690131,-75.66123
"309 Rocky Run Pkwy, Talleyville, DE 19803",19803,39.819585,-75.549315
"2314 N Salisbury Blvd, Salisbury, MD 21801",21801,38.39858,-75.569937
"340 W State Rd 436, Altamonte Springs, FL 32714",32714,28.661328,-81.395474
"700 N Congress Ave, Boynton Beach, FL 33426",33426,26.533684,-80.090038
"5711 14th St W, Bradenton, FL 34207",34207,27.440029,-82.575057
"2604 W Brandon Blvd, Brandon, FL 33511",33511,27.940752,-82.325452
"26320 U.S. 19th North, Clearwater, FL 33761",33761,28.0118,-82.734786
"2475 S Hwy 27, Clermont, FL 34711",34711,28.537092,-81.736731
"2000 N University Dr, Coral Springs, FL 33071",33071,26.256021,-80.252425
"2625 W International Speedway Blvd, Daytona Beach, FL 32114",32114,29.175724,-81.081808
"3162 S Atlantic Ave, Daytona Beach Shores, FL 32118",32118,29.160774,-80.97506
"Doral, FL 33126",33126,25.7897571,-80.3357561
"1750 W 49th St, Hialeah, FL 33012",33012,25.866205,-80.318342
"11550 SW 88th St, Miami, FL 33176",33176,25.685951,-80.383432
"8705 SW 136th St, Miami, FL 33176",33176,25.645168,-80.334318
"13300 Biscayne Blvd, North Miami, FL 33181",33181,25.898051,-80.161592
"5950 N Federal Hwy, Fort Lauderdale, FL 33308",33308,26.201727,-80.108804
"3801 Cleveland Ave, Fort Myers, FL 33901",33901,26.606973,-81.87152
"6401 Darter Ct, Fort Pierce, FL 34945",34945,27.414263,-80.390547
"326 Miracle Strip Pkwy SW, Fort Walton Beach, FL 32548",32548,30.405597,-86.635027
"6910 W Newberry Rd, Gainesville, FL 32605",32605,29.660594,-82.416743
"2900 Oakwood Blvd, Hollywood, FL 33020",33020,26.03774,-80.162828
"2301 NE 8th St, Homestead, FL 33033",33033,25.478046,-80.443674
"13090 City Station Dr, Jacksonville, FL 32218",32218,30.475358,-81.643905
"32 Blanding Blvd, Orange Park, FL 32073",32073,30.187878,-81.740033
"416 Commerce Center Dr, Jacksonville, FL 32225",32225,30.329711,-81.550968
"8720 Baymeadows Rd, Jacksonville, FL 32256",32256,30.220389,-81.577526
"3544 NW Federal Hwy, Jensen Beach, FL 34957",34957,27.244533,-80.272524
"4010 W Vine St, Kissimmee, FL 34741",34741,28.303974,-81.443103
"7780 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747",34747,28.339274,-81.59718
"5690 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",34746,28.332183,-81.513215
"2847 W US Hwy 90, Lake City, FL 32055",32055,30.180367,-82.678973
"6638 Lake Worth Rd, Lake Worth, FL 33467",33467,26.617234,-80.149276
"3706 North Dr #98, Lakeland, FL 33809",33809,28.089436,-81.974407
"10500 E Ulmerton Rd, Largo, FL 33771",33771,27.894097,-82.782614
"10010 US-441, Leesburg, FL 34788",34788,28.823765,-81.790695
"2355 W New Haven Ave, Melbourne, FL 32904",32904,28.078257,-80.660904
"215 E Merritt Island Causeway, Merritt Island, FL 32952",32952,28.356649,-80.695842
"1695 NW 87th Ave, Doral, FL 33172",33172,25.789372,-80.33639
"2355 Tamiami Trail N, Naples, FL 34103",34103,26.176355,-81.800236
"3393 SW College Rd, Ocala, FL 34474",34474,29.15697,-82.178883
"3552 E Colonial Dr, Orlando, FL 32803",32803,28.553022,-81.339985
"7373 W Colonial Dr, Orlando, FL 32818",32818,28.552549,-81.480343
"5936 International Dr, Orlando, FL 32819",32819,28.461768,-81.46156
"9892 International Dr, Orlando, FL 32819",32819,28.424539,-81.461657
"8003 Golden Sky Ln, Orlando, FL 32809",32809,28.45008,-81.393477
"12557 FL-535, Orlando, FL 32836",32836,28.381024,-81.502994
"450 S Orange Ave, Orlando, FL 32801",32801,28.537175,-81.3791295
"617 N Alafaya Trail, Orlando, FL 32828",32828,28.554431,-81.205673
"910 E 23rd St, Panama City, FL 32405",32405,30.188907,-85.64558
"296 N University Dr, Pembroke Pines, FL 33024",33024,26.011328,-80.248692
"Cordova Mall, 5110 N 9th Ave, Pensacola, FL 32504",32504,30.475802,-87.210379
"803 S University Dr, Plantation, FL 33324",33324,26.113155,-80.251331
"1331 Tamiami Trail, Port Charlotte, FL 33948",33948,27.011956,-82.146564
"8909 US-19, Port Richey, FL 34668",34668,28.286799,-82.714064
"100 FL-312 W, St. Augustine, FL 32086",32086,29.867397,-81.323833
"6151 34th St N, St. Petersburg, FL 33714",33714,27.82785,-82.67927
"20 Towne Center Cir, Sanford, FL 32771",32771,28.807269,-81.335509
"6747 S Tamiami Trail, Sarasota, FL 34231",34231,27.257373,-82.519164
"721 US-27, Sebring, FL 33870",33870,27.489831,-81.484185
"2328 Commercial Way, Spring Hill, FL 34606",34606,28.46632,-82.621408
"2583 N Monroe St, Tallahassee, FL 32303",32303,30.47634,-84.296401
"17021 Palm Pointe Dr, Tampa, FL 33647",33647,28.117482,-82.379968
"2625 E Busch Blvd, Tampa, FL 33612",33612,28.032213,-82.429262
"11601 N Dale Mabry Hwy, Tampa, FL 33618",33618,28.054556,-82.503337
"3830 Wedgewood Ln, The Villages, FL 32162",32162,28.927855,-82.024156
"2201 Palm Beach Lakes Blvd, West Palm Beach, FL 33409",33409,26.711689,-80.096749
"230 Cypress Gardens Blvd, Winter Haven, FL 33880",33880,28.003608,-81.725051
