STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP,business name,id
1733,Street Non-DT,End Cap,25.4567,-80.4759,33550 South Dixie Hwy,Florida City,FL,33034,Panda Express,P0str_rAipo3mcj5uZE7jA
1734,Street Non-DT,End Cap,30.1397,-81.7701,901 Blanding Blvd.,Orange Park,FL,32065,Panda Express,P6jYLwoWuZ8iNdvp82M_Ww
1736,Street Non-DT,End Cap,27.3107,-80.4062,1782 Sw Saint Lucie West Blvd,Port Saint Lucie,FL,34986,Panda Express,zW3W0YychOK38sg0vQVo1g
1737,Street DT,Free Standing,39.0274,-94.2554,535 Ne Coronado Drive,Blue Springs,MO,64014,Panda Express,#NAME?
1742,Mall,Food Court,46.2264,-119.228,1321 N. Columbia Center Blvd,Kennewick,WA,99336,Panda Express - Temporarily Closed,u2TI9US187BJDOpNeFD1Gw
1745,Street Non-DT,End Cap,25.978,-80.3104,12332 Miramar Pkwy,Miramar,FL,33025,Panda Express,F_FnFXYeA3lds0Kt4M5F8w
1748,Street Non-DT,End Cap,32.705,-97.3894,3140 S. Hulen Blvd.,Fort Worth,TX,76109,Panda Express,wJvw_YrwnN_5HKlwMkektA
1749,Street Non-DT,End Cap,33.6846,-117.1748,30024 Haun Road,Menifee,CA,92584,Panda Express,LTfnD6jXhUCpIi1A5FNVGQ
175,University,Food Court,34.0704,-118.4441,308 Westwood Plaza,Los Angeles,CA,90024,Panda Express - Temporarily Closed,WubmhDaK703TF4WibZ8ZzQ
1750,Street Non-DT,End Cap,29.9644,-95.5425,7610 W Fm 1960,Houston,TX,77070,Panda Express,VfmB_DJweNm8PGsvZeDytw
1751,Street DT,Free Standing,29.6868,-98.1255,1008 Ih 35 S.,New Braunfels,TX,78130,Panda Express,fSe9Q4Oq8CSc59jTmEPxzQ
1752,Street Non-DT,End Cap,25.769,-80.3379,8750 W. Flagler Street,Miami,FL,33174,Panda Express,WuMm1tvQcnTpHxwSgeddWw
1753,Street DT,Free Standing,32.8427,-97.29,5340 N. Beach St.,Haltom City,TX,76137,Panda Express,Rcw1lLp1nD39ph2iMOBeQg
1754,University,Food Court,29.5845,-98.6173,One Utsa Circle,San Antonio,TX,78249,Panda Express - Temporarily Closed,fOEABMCVLo4gII8AHi6k9A
1755,Mall,In Line,42.0482,-88.0384,3 Woodfield Mall,Schaumburg,IL,60173,Panda Express - Temporarily Closed,bCCTE_ptlxJvKXwmPXPfgg
1756,University,End Cap,36.0011,-78.941,120 Science Drive,Durham,NC,27708,Panda Express,6_SEGWExrMfdV7izpN1Ovw
1758,Street DT,Free Standing,42.3662,-89.016,1640 West Lane Dr.,Machesney Park,IL,61115,Panda Express,45ixqDJqunlVpgYoS0ySrQ
1761,Mall,Food Court,38.6016,-121.4274,1689 Arden Way,Sacramento,CA,95815,Panda Express - Temporarily Closed,7UNNKEpd67EMu5cfNNxpDQ
1762,Mall,Food Court,36.1725,-115.1973,4300 Meadows Lane,Las Vegas,NV,89107,Panda Express - Temporarily Closed,JzmJCDSJ_35kJgAlxcZDqQ
1763,Mall,In Line,37.6872,-121.0518,3401 Dale Rd.,Modesto,CA,95356,Panda Express - Temporarily Closed,xN2JbfT_c69NSbQj12YFKA
1764,Mall,Food Court,34.1349,-118.051,400 South Baldwin Ave,Arcadia,CA,91007,Panda Express - Temporarily Closed,OXWO87hJKS3qLG9cLwFi2Q
1765,Mall,Food Court,32.768,-117.1656,7007 Friars Rd,San Diego,CA,92108,Panda Express - Temporarily Closed,WaT7z9NJCp56eV2MGAWBDQ
1768,Street DT,Free Standing,37.3438,-120.6146,1531 Bell Dr.,Atwater,CA,95301,Panda Express,wYxHWt31OlsMrA3myIfkdw
1769,Street DT,Free Standing,34.4798,-114.3487,205 N. Lake Havasu Ave.,Lake Havasu City,AZ,86403,Panda Express,4Qv7EF7YJSW_bw9BwIXBbw
1770,Street Non-DT,End Cap,30.3031,-81.758,6752 Normandy Blvd.,Jacksonville,FL,32205,Panda Express,WR6EZj-gJ9Yg_jcnth46aQ
1771,Street DT,Free Standing,35.4936,-97.55,2201 Nw 23rd St.,Oklahoma City,OK,73107,Panda Express,luwWX3zMvfjQuNdkLrc_vQ
1772,Street DT,Free Standing,30.2543,-81.5349,4897 Town Center Parkway,Jacksonville,FL,32246,Panda Express,FjWkflaQRwPS5vcCRQIX1g
1773,University,Food Court,35.3094,-83.1837,160 W. University Way #112,Cullowhee,NC,28723,Panda Express - Temporarily Closed,me8hAS0plpd-i4wLbcTjFw
1774,Street Non-DT,End Cap,38.4965,-121.433,6013 Florin Rd,Sacramento,CA,95823,Panda Express,H-dpg4foFi58t67n6Wmfsg
1775,Street Non-DT,End Cap,39.9719,-86.1542,1430 West Carmel Drive,Carmel,IN,46032,Panda Express,q2cgYLHKRaujrQgSnqJPTA
1776,Street DT,Free Standing,29.8431,-97.9697,2850 S Ih35,San Marcos,TX,78666,Panda Express,apZ0z1uu2UJragjfdsFKOA
1778,University,Food Court,41.3125,-105.586,1000 E University Ave,Laramie,WY,82071,,
1779,Street DT,Free Standing,39.1845,-94.576,"4901 North Oak Trafficway, Lot 4",Kansas City,MO,64118,Panda Express,HvyoYph6t-CLD2QoFryOVQ
178,Store in Store,Food Court,33.8672,-117.7516,8010 Santa Ana Canyon Rd.,Anaheim,CA,92808,Panda Express,00SLDrH-PIFFxxFEbZvHfA
1780,Street DT,Free Standing,34.5458,-112.4676,170 E. Sheldon Street,Prescott,AZ,86301,Panda Express,zqvuR9hfL-1yL0YFZfc0Ag
1781,University,Food Court,39.5441,-119.8159,"Joe Crowley Student Union, 1664 N. Virginia St",Reno,NV,89503,,
1782,Street Non-DT,End Cap,37.6978,-121.8747,4001 Santa Rita Rd.,Pleasanton,CA,94588,Panda Express,FU_hGdHE0YoIEx0xMaXeDQ
1783,Street Non-DT,End Cap,38.8849,-94.8356,299 North K-7 Highway,Olathe,KS,66061,Panda Express,vli9Ea3TqCymRHAuhoKfqg
1784,Street Non-DT,End Cap,29.6909,-95.4158,8505 Main Street,Houston,TX,77025,Panda Express,PRsy8Xwctq3H2suPz0_7Nw
1785,Street Non-DT,End Cap,29.5175,-98.5063,834 Nw Loop 410,San Antonio,TX,78216,Panda Express,DusQ2UEx8WtJ4gmjjoWbFA
1786,Street Non-DT,End Cap,35.9447,-86.8188,3058 Mallory Lane,Franklin,TN,37067,Panda Express,glGXH9Ehxfxq2-OAN_ZnYg
1787,Mall,Food Court,37.6994,-122.1233,15555 E 14th St,San Leandro,CA,94578,Panda Express - Temporarily Closed,eyMZuGbqErnSHfjpqUtK7Q
1788,Street Non-DT,End Cap,37.5442,-121.9831,39429 Fremont Boulevard,Fremont,CA,94538,Panda Express,NJmn45h5DRmGUxCHCTFZzA
1789,Street Non-DT,End Cap,31.7772,-106.5039,2725 N. Mesa,El Paso,TX,79902,Panda Express,yQ9eW3zC2RXZMCafmGt-Ig
1790,Street DT,Free Standing,38.7057,-120.8305,4280 Missouri Flat Road,Placerville,CA,95667,Panda Express,E4F_ryzSkLND61g0ZUoHEg
1792,Street Non-DT,End Cap,45.403,-122.7971,16230 Sw Pacific Hwy,Tigard,OR,97224,Panda Express,TvOA2y8pz8Fe1udaqnWm0Q
1793,Street Non-DT,End Cap,38.6743,-76.875,15902 Crain Hwy,Brandywine,MD,20613,Panda Express,9WzdmPcdS6dv3KTMucQWQA
1794,Street Non-DT,End Cap,30.1874,-81.7352,1907 Well Road,Orange Park,FL,32073,Panda Express,hqO5rg5VwPLy7rjrRjZqDw
1795,Street DT,Free Standing,40.7436,-89.6297,2316 W. War Memorial Dr,Peoria,IL,61613,Panda Express,tLCMZKRdOVtafaQbDhtKUQ
1796,Street DT,Free Standing,28.5111,-81.4596,2972 S. Kirkman Road,Orlando,FL,32811,Panda Express,NWwx1wUVBFdsQ3fIfEelkw
1797,Street DT,Free Standing,32.669,-114.4951,3275 S. Avenue 8e,Yuma,AZ,85364,Panda Express,wyOGKquzvAjSaZOKkeLopQ
1798,Street Non-DT,End Cap,33.3045,-111.9946,4025 E. Chandler Blvd.,Phoenix,AZ,85048,Panda Express,BzgeGVOPetKDcgv9FCbpkw
1799,Street Non-DT,End Cap,36.7304,-119.8006,1115 Fresno Street,Fresno,CA,93706,Panda Express,svwGgpx6oVNYJrM_669clQ
1800,Street DT,Free Standing,32.5176,-97.3503,1621 Sw Wilshire Blvd,Burleson,TX,76028,Panda Express,HlTs_EaxIUPO5-TaTFF1og
