STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
459,Street Non-DT,End Cap,33.8034,-117.8881,2055 East Katella Av,Anaheim,CA,92803
461,Mall,Food Court,41.7238,-71.4769,400 Bald Hill Road #f10,Warwick,RI,2886
464,Street Non-DT,End Cap,38.425,-121.3931,9154 East Stockton 140,Elk Grove,CA,95624
465,University,Food Court,42.7266,-84.4807,427 North Shaw Lane,East Lansing,MI,48824
466,Street Non-DT,End Cap,21.4214,-157.8029,46-047 Kamehameha Highway,Kaneohe,HI,96744
467,Casino,Food Court,36.0605,-115.0411,1301 West Sunset Rd. C107,Henderson,NV,89014
469,Street Non-DT,End Cap,36.1449,-115.2041,4590 W. Sahara Ave. Sp#101,Las Vegas,NV,89102
471,Mall,Food Court,42.7031,-83.2967,4420 Baldwin Rd,Auburn Hills,MI,48326
473,Street Non-DT,End Cap,36.0902,-115.1721,3999 Las Vegas Blvd. South,Las Vegas,NV,89119
474,Street Non-DT,End Cap,38.289,-122.0337,3334 N. Texas St. Suite D,Fairfield,CA,94533
480,Street Non-DT,End Cap,37.6917,-121.7735,2100-a Portola Ave,Livermore,CA,94550
481,Mall,End Cap,21.2773,-157.7865,4211 Waialae Ave. A1&a2,Honolulu,HI,96816
482,Street Non-DT,In Line,34.1496,-118.2463,249 N Glendale Ave,Glendale,CA,91206
487,Street Non-DT,In Line,34.2837,-118.7192,2667 Tapo Canyon Rd Food Court,Simi Valley,CA,93063
488,Street Non-DT,End Cap,33.6377,-112.2174,7369 W. Bell Rd. Suite 1,Peoria,AZ,85382
490,Mall,Food Court,41.4703,-87.307,2282 Southlake Mall,Merrillville,IN,46410
491,Mall,Food Court,40.1423,-88.2429,2000 N. Neil St,Champaign,IL,61820
496,Street Non-DT,End Cap,36.1156,-115.1023,3318 E. Flamingo Rd. Suite A,Las Vegas,NV,89121
498,Casino,Food Court,36.1229,-115.1685,3355 Las Vegas Blvd. South,Las Vegas,NV,89109
499,Street Non-DT,End Cap,33.8052,-118.3508,3737 Pch Suite A,Torrance,CA,90505
500,Street Non-DT,End Cap,33.0673,-117.2624,1084 N. El Camino Real #e,Encinitas,CA,92024
502,University,In Line,40.7982,-77.8615,7 Hub/robeson Center,University Park,PA,16802
506,Street Non-DT,End Cap,40.6253,-111.8505,6927 Park Centre Dr,Salt Lake City,UT,84121
508,Mall,In Line,21.4192,-157.805,46-056 Kamehameha Highway,Kaneohe,HI,96744
509,Street Non-DT,End Cap,33.6108,-111.9964,3923 E. Thunderbird Rd. #111,Phoenix,AZ,85032
510,Mall,Food Court,45.4364,-122.5729,12000 Se 82nd Ave.,Happy Valley,OR,97086
511,Mall,Food Court,33.5247,-117.1546,40820 Winchester Rd,Temecula,CA,92591
512,Mall,Food Court,43.6086,-116.2781,350 N. Milwaukee,Boise,ID,83704
