,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name
4138,21701,2.5,$,53.0,39.4454332,-77.3973634,Chipotle,1223,37185,39.9,79196,42265,3316,871,FREDERICK,MD
4139,21704,3.0,$,61.0,39.37431779999999,-77.41217209999998,Chipotle,1224,16518,37.6,137162,46693,698,322,FREDERICK,MD
4140,20877,2.5,$,86.0,39.1485003,-77.2103473,Chipotle,1225,38885,34.9,68896,30464,5045,1271,GAITHERSBURG,MD
4141,20877,2.5,$$,233.0,39.113476,-77.187258,Red Lobster,291,38885,34.9,68896,30464,5045,1271,GAITHERSBURG,MD
4142,20876,1.5,$,40.0,39.2035638,-77.2478878,Chipotle,1226,28919,34.8,94891,39465,2344,714,GERMANTOWN,MD
4143,21771,2.5,$,29.0,39.3645528,-77.16010250000002,Chipotle,1227,29265,42.6,124676,45877,1202,649,MOUNT AIRY,MD
4144,20678,2.5,$,18.0,38.544661700000006,-76.5921009,Chipotle,1228,12418,40.2,90885,37722,850,469,PRINCE FREDERICK,MD
4145,20759,2.0,$,63.0,39.1496229,-76.9097397,Chipotle,1229,5011,42.7,176023,78831,259,44,FULTON,MD
4146,20878,2.5,$,50.0,39.116607,-77.19840400000002,Chipotle,1230,64126,39.4,127653,57294,2881,1539,GAITHERSBURG,MD
4147,20878,2.5,$,74.0,39.1246346,-77.2370538,Chipotle,1231,64126,39.4,127653,57294,2881,1539,GAITHERSBURG,MD
4148,21060,2.0,$,20.0,39.1377384,-76.5981906,Chipotle,1233,34360,38.7,72542,35007,2393,832,GLEN BURNIE,MD
4149,20724,2.0,$,58.0,39.0979286,-76.80901259999997,Chipotle,1235,17736,35.1,103179,42300,1005,748,LAUREL,MD
4150,21740,2.0,$,69.0,39.6596563,-77.74470579999998,Chipotle,1237,61803,37.8,48136,24850,11074,2242,HAGERSTOWN,MD
4151,21740,3.0,$$,35.0,39.63019600000001,-77.76224300000001,Red Lobster,292,61803,37.8,48136,24850,11074,2242,HAGERSTOWN,MD
4152,21076,2.5,$,129.0,39.1532887,-76.7245877,Chipotle,1238,17204,36.7,116098,51892,455,274,HANOVER,MD
4153,21076,2.5,$$,112.0,39.154239,-76.729652,Red Lobster,293,17204,36.7,116098,51892,455,274,HANOVER,MD
4154,21030,2.0,$,69.0,39.4966639,-76.6543987,Chipotle,1239,25637,36.2,69481,43893,1922,470,COCKEYSVILLE,MD
4155,20653,2.5,$,47.0,38.291993,-76.4936468,Chipotle,1240,23546,33.5,71543,36092,3113,508,LEXINGTON PARK,MD
