Column 1,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,name 2,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name,state_name 2,Walk Score,Bike Score
1009,97055,2.5,$,18,45.4023,-122.2824,Panda Express,1,530,18392,38.9,68789,29980,1837,360,SANDY,OR,West,57,48
1010,60446,2,$,20,41.6085,-88.124,Panda Express,1,531,40085,33.9,77110,26899,2695,1048,ROMEOVILLE,IL,Midwest,48,42
1011,60446,2.5,$,22,41.6163257,-88.1227427,Chipotle,0,974,40085,33.9,77110,26899,2695,1048,ROMEOVILLE,IL,Midwest,46,42
1012,85224,2,$,94,33.3199,-111.8919,Panda Express,1,532,44333,34.6,69846,34589,3971,1044,CHANDLER,AZ,West,64,80
1013,30022,3.5,$,26,33.9998,-84.2837,Panda Express,1,533,68807,39,105988,51002,2931,1608,ALPHARETTA,GA,South,47,23
1014,30022,2.5,$,70,34.0517625,-84.2863024,Chipotle,0,826,68807,39,105988,51002,2931,1608,ALPHARETTA,GA,South,50,36
1015,33578,3,$,52,27.8943,-82.3319,Panda Express,1,534,49634,33.1,61604,29017,6445,1586,RIVERVIEW,FL,South,58,53
1016,32164,2.5,$,21,29.4762,-81.2159,Panda Express,1,535,45207,47,52466,24263,5237,1160,PALM COAST,FL,South,45,49
1017,32164,2.5,$,7,29.4762299,-81.1960841,Chipotle,0,793,45207,47,52466,24263,5237,1160,PALM COAST,FL,South,25,43
1018,60077,2.5,$,40,42.0411,-87.7576,Panda Express,1,536,28329,41.3,63051,30903,3126,746,SKOKIE,IL,Midwest,61,79
1019,60077,3.5,$,46,42.0111,-87.7623,Panda Express,1,794,28329,41.3,63051,30903,3126,746,SKOKIE,IL,Midwest,78,58
1020,60077,3,$,72,42.0113393,-87.7628489,Chipotle,0,1002,28329,41.3,63051,30903,3126,746,SKOKIE,IL,Midwest,83,60
1021,60077,2.5,$,84,42.0522685,-87.7473097,Chipotle,0,1016,28329,41.3,63051,30903,3126,746,SKOKIE,IL,Midwest,82,56
1022,77046,2,$,43,29.7339,-95.441,Panda Express,1,537,970,49.1,81803,81801,13,8,HOUSTON,TX,South,84,57
1023,20109,3,$,70,38.7853,-77.5167,Panda Express,1,538,40717,30.8,70629,29548,4134,1063,MANASSAS,VA,East,78,44
