,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
105,"700 N Congress Ave, Boynton Beach, FL 33426",33426,26.533684,-80.090038,3.5,$$,86.0,red-lobster-boynton-beach
106,"5711 14th St W, Bradenton, FL 34207",34207,27.440029,-82.575057,3.0,$$,42.0,red-lobster-bradenton
107,"2604 W Brandon Blvd, Brandon, FL 33511",33511,27.940752000000003,-82.325452,2.5,$$,123.0,red-lobster-brandon
108,"26320 U.S. 19th North, Clearwater, FL 33761",33761,28.0118,-82.734786,3.0,$$,65.0,red-lobster-clearwater
109,"2475 S Hwy 27, Clermont, FL 34711",34711,28.537091999999998,-81.736731,3.0,$$,58.0,red-lobster-clermont
110,"2000 N University Dr, Coral Springs, FL 33071",33071,26.256021,-80.252425,3.0,$$,123.0,red-lobster-coral-springs
111,"2625 W International Speedway Blvd, Daytona Beach, FL 32114",32114,29.175724,-81.081808,3.0,$$,44.0,red-lobster-daytona-beach-3
112,"3162 S Atlantic Ave, Daytona Beach Shores, FL 32118",32118,29.160774,-80.97506,3.5,$$,54.0,red-lobster-daytona-beach-shores
113,"Doral, FL 33126",33126,25.789757100000003,-80.3357561,3.0,$$,112.0,red-lobster-doral-2
114,"1750 W 49th St, Hialeah, FL 33012",33012,25.866204999999997,-80.318342,3.0,$$,69.0,red-lobster-hialeah
115,"11550 SW 88th St, Miami, FL 33176",33176,25.685951,-80.383432,3.0,$$,136.0,red-lobster-miami
116,"8705 SW 136th St, Miami, FL 33176",33176,25.645167999999998,-80.33431800000001,3.0,$$,50.0,red-lobster-miami-2
117,"13300 Biscayne Blvd, North Miami, FL 33181",33181,25.898051000000002,-80.161592,3.0,$$,111.0,red-lobster-north-miami
118,"5950 N Federal Hwy, Fort Lauderdale, FL 33308",33308,26.201726999999998,-80.108804,3.0,$$,96.0,red-lobster-fort-lauderdale
119,"3801 Cleveland Ave, Fort Myers, FL 33901",33901,26.606972999999996,-81.87151999999999,2.5,$$,62.0,red-lobster-fort-myers
120,"6401 Darter Ct, Fort Pierce, FL 34945",34945,27.414263000000002,-80.390547,3.0,$$,30.0,red-lobster-fort-pierce
121,"326 Miracle Strip Pkwy SW, Fort Walton Beach, FL 32548",32548,30.405596999999997,-86.63502700000001,3.0,$$,57.0,red-lobster-fort-walton-beach
122,"6910 W Newberry Rd, Gainesville, FL 32605",32605,29.660594,-82.41674300000001,3.0,$$,41.0,red-lobster-gainesville
123,"2900 Oakwood Blvd, Hollywood, FL 33020",33020,26.03774,-80.162828,2.5,$$,115.0,red-lobster-hollywood
124,"2301 NE 8th St, Homestead, FL 33033",33033,25.478046,-80.443674,2.5,$$,63.0,red-lobster-homestead
125,"13090 City Station Dr, Jacksonville, FL 32218",32218,30.475358,-81.643905,2.5,$$,57.0,red-lobster-jacksonville-3
126,"32 Blanding Blvd, Orange Park, FL 32073",32073,30.187878,-81.740033,2.5,$$,57.0,red-lobster-orange-park
127,"416 Commerce Center Dr, Jacksonville, FL 32225",32225,30.329711,-81.55096800000001,3.0,$$,59.0,red-lobster-jacksonville
128,"8720 Baymeadows Rd, Jacksonville, FL 32256",32256,30.220389,-81.577526,3.0,$$,76.0,red-lobster-jacksonville-4
129,"3544 NW Federal Hwy, Jensen Beach, FL 34957",34957,27.244533,-80.272524,3.0,$$,50.0,red-lobster-jensen-beach
130,"4010 W Vine St, Kissimmee, FL 34741",34741,28.303974,-81.44310300000001,3.0,$$,62.0,red-lobster-kissimmee-2
131,"7780 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747",34747,28.339274,-81.59718000000001,3.0,$$,70.0,red-lobster-kissimmee
